acting out a story;表演一个故事
act;行动，表演
out;出
story;故事
fly;飞
away;走，离开
fly away;飞走
bird;鸟
come back;回来
come;来
back;回
hill;山
Two little blackbirds;两只小黑鸟
two;两
little;小的
littler; 比较小的
littlest;最小的
Sitting on a hill.;坐在一座山上
Sit;坐
on;在什么上
a;一个
one;一
name;名字
One named Jack,;一个叫杰克
One named Jill.;一个叫基尔
Fly away, Jack.;飞吧，杰克
Fly away, Jill.;飞吧，基尔
Come back, Jack.;回来吧，杰克
Come back, Jill.;回来吧基尔
One named Jack,一个叫杰克
One named Jill.一个叫基尔
Fly away, Jack.飞吧，杰克
Fly away, Jill.飞吧，基尔
Come back, Jack.回来吧，杰克
Come back, Jill.回来吧基尔;
flap;拍
wing;翅膀，机翼
flap wings;拍翅膀
two;两个
bee;蜜蜂
Two little bees;两个小蜜蜂
Sitting on a bag;坐在一个袋子上
bag;袋子
It time to fly;到时间飞了
it;它/他们
time;时间
to;去
fly;飞
Oh, my! It's too high.;哦，我的天，它太高了
my;我
too;太
high;高的
Flap your wings. Ready?;拍你的翅膀，准备好了吗？
your;你的
ready;准备
Flap my wings. Hooray!;拍你的翅膀，好棒啊？
Oh, no.;哦，不
Stick in the pictures in order.;按照顺序粘在图片里
stick;粘，棍子
in;里面
the;（特别指）这个
picture;图片
order;顺序，命令
Have a go!;该走了
have;有，该
go;走，行动
You can do it!;你能做到的
you;你
can;能够
do;做
let;让
try;尝试，试试
me;我（宾格）Mum,you love me.
OK. Let me try.;好，让我试试
Hooray!;太棒了
Good job!;做得好
Think and speak.;思考和说出来
think;思考
speak;说
Look and number the pictures in order.;观察和按照顺序给图片编号
number;号码，编号
Work in pairs. Act out the story.; 组队扮演这个故事
work;工作
pair;成对
step;步骤

